word,Length,Arousal.M,Arousal.SD,Arousal.N,Valence.M,Valence.SD,Valence.N,Dominance.M,Dominance.SD,Dominance.N,Concreteness.M,Concreteness.SD,Concreteness.N,Imageability.M,Imageability.SD,Imageability.N,Familiarity.M,Familiarity.SD,Familiarity.N,AoA.M,AoA.SD,AoA.N,Size.M,Size.SD,Size.N,Gender.M,Gender.SD,Gender.N
boot (shoe),4,3.618,2.364,34,5.088,0.919,34,5.771,1.709,35,6.667,0.804,33,6.647,0.836,34,6.265,1.009,34,2.543,1.051,35,2.794,1.278,34,4.514,1.339,35
bow (bend),3,3.353,1.764,34,4.788,0.946,33,4.206,1.711,34,4.697,1.586,33,5.029,1.543,34,4.455,1.94,33,3.882,1.623,34,2.625,1.244,32,4.606,0.851,33
bow (ribbon),3,4.257,2.156,35,6.182,1.546,33,4.818,2.167,33,6.059,1.083,34,6.441,1.09,34,5.909,1.357,33,2.515,0.783,33,2.412,1.478,34,2.086,1.156,35
bow (ship),3,3.438,1.968,32,5.233,0.955,30,5.345,1.646,29,6.613,0.704,31,5.968,1.555,31,4,2.252,28,4.438,1.321,32,4.548,2.138,31,4.516,1.292,31
bow (weapon),3,4.971,2.618,34,4.314,1.686,35,6.235,2.129,34,6.794,0.404,34,6.636,0.81,33,4.576,2.001,33,3.882,1.301,34,3.743,1.645,35,4.941,1.494,34
box (container),3,2.618,1.476,34,5.147,0.601,34,4.571,1.46,35,6.429,0.838,35,6.294,1.177,34,6.182,0.968,33,1.857,0.639,35,2.941,1.392,34,4.471,0.813,34
box (sport),3,4.212,2.532,33,4.235,1.646,34,6.03,2.022,33,5.394,1.669,33,6,1.346,32,4.939,1.825,33,4.057,1.241,35,4.147,1.478,34,6.303,0.969,33
boxer (dog),5,4.147,2.303,34,4.588,1.263,34,5.441,1.785,34,6.647,0.681,34,6.5,1.144,34,4.469,1.695,32,4.529,1.311,34,3.382,1.456,34,5.559,1.117,34
boxer (fighter),5,5.229,2.63,35,3.971,1.797,35,6.188,2.442,32,6.471,0.915,34,6.429,0.935,35,5,1.826,33,4.4,1.335,35,5.059,1.533,34,6.343,0.924,35
break (destroy),5,5.912,2.106,34,2.394,1.127,33,5.853,2.451,34,4.941,1.589,34,5.5,1.558,34,6.382,0.971,34,2.273,0.862,33,4.97,1.291,33,5.618,0.94,34
break (luck),5,6.032,1.534,31,7.147,1.517,34,4.655,1.988,29,2.879,1.513,33,3.091,1.848,33,3.849,1.777,33,4.97,1.467,33,4.697,1.359,33,3.909,0.83,33
break (rest),5,4.588,2.224,34,6.788,1.037,33,5.97,1.766,33,4.059,1.697,34,3.97,1.714,33,6.452,0.945,31,2.824,0.89,34,3.438,1.116,32,3.727,0.75,33
bridal (horse),6,3.546,2.35,33,5.029,0.707,34,5.061,1.071,33,6.063,1.197,32,5.636,1.453,33,2.829,1.781,35,5.969,1.358,32,3.969,1.63,32,3.088,1.222,34
bridal (marriage),6,5.667,2.395,33,7.294,1.383,34,4.909,1.73,33,4.594,1.637,32,5.303,1.642,33,5,1.92,32,4.353,1.326,34,5.294,1.383,34,1.515,1.048,33
bridge (card game),6,2.765,1.895,34,5.029,0.822,34,5.121,1.629,33,5.324,1.604,34,5.147,1.556,34,3.088,1.869,34,6.088,1.172,34,2.677,1.254,34,4.177,1.543,34
bridge (structure),6,3.529,2.199,34,6.235,1.352,34,5.394,2.187,33,6.8,0.4,35,6.657,0.715,35,6.242,1.102,33,3.229,1.173,35,5.677,1.658,34,5.486,1.131,35
bright (light),6,5.455,1.924,33,6.6,1.357,35,5.412,1.574,34,4.706,1.775,34,5.486,1.68,35,6.177,1.097,34,2.657,1.12,35,4.824,1.294,34,3.571,0.803,35
bright (smart),6,6.771,1.742,35,7.886,1.09,35,6.914,1.948,35,2.914,1.5,35,4.229,1.79,35,6.206,1.132,34,3.657,1.194,35,5.114,1.19,35,3.314,1.237,35
brilliant (great),9,7.212,1.572,33,8.546,0.742,33,7.781,1.053,32,2.576,1.326,33,3.303,1.679,33,6.656,0.592,32,3.152,1.209,33,5.818,0.999,33,3.879,1.249,33
brilliant (intelligent),9,7.235,1.554,34,8.171,1.134,35,7.543,1.179,35,3.029,2.021,35,3.257,1.645,35,6.286,1.084,35,3.714,1.278,35,5.714,1.084,35,3.914,1.339,35
brilliant (luminous),9,6.829,2.384,35,8.118,1.105,34,6.424,2.336,33,3.5,1.5,34,4.371,1.675,35,5.5,1.5,32,4.829,1.612,35,5.849,1.282,33,2.882,1.367,34
bulb (light),4,3.765,1.956,34,6.114,1.09,35,5.515,1.329,33,6.229,1.149,35,6.714,0.613,35,6.171,1.363,35,3.2,0.709,35,3,1.498,33,4.229,1.044,35
bulb (plant),4,2.788,1.719,33,6.182,1.424,33,5.5,1.299,32,6.441,0.774,34,6.242,0.889,33,4.353,1.892,34,4.057,1.33,35,2.606,1.575,33,3.469,0.968,32
bunk (bed),4,3.543,2.075,35,5.235,0.941,34,5.273,1.895,33,6.559,0.694,34,6.286,1.278,35,5.235,1.783,34,2.714,1.002,35,3.824,1.504,34,4.824,1.124,34
bunk (truant),4,4.767,1.961,30,3.393,1.263,28,5.655,1.917,29,3.69,1.417,29,3.429,1.522,28,3.313,1.944,32,5.833,1.213,30,3.71,1.325,31,4.967,1.016,30
bust (break),4,4.516,2.062,31,3.419,1.519,31,4.581,1.88,31,3.636,1.432,33,4.516,1.701,31,4.033,2.025,30,4.667,1.47,33,3.613,1.287,31,4.969,1.262,32
bust (breasts),4,6.2,2.081,35,6.114,1.304,35,5.543,1.778,35,6.697,0.521,33,6.647,0.636,34,5.471,1.595,34,5.657,1.286,35,3.743,1.401,35,1.743,1.227,35
bust (sculpture),4,4.484,2.046,31,5.594,1.086,32,5.063,1.368,32,6.219,0.927,32,5.419,1.54,31,3.882,1.997,34,5.5,1.243,34,3.781,1.218,32,3.382,1.591,34
cabinet (closet),7,3.194,1.786,31,5.061,0.6,33,4.938,1.519,32,6.71,0.632,31,6.357,1.288,28,5.129,1.641,31,3.909,1.443,33,3.909,1.545,33,3.533,1.118,30
cabinet (council),7,3.267,1.896,30,4.469,1.436,32,3.313,1.911,32,4.807,1.281,31,4.515,1.48,33,3.906,1.958,32,6.156,1.093,32,5.25,0.866,32,5.194,0.895,31
calf (cow),4,3.515,1.971,33,6.094,1.208,32,4.424,1.393,33,6.697,0.674,33,6.625,0.696,32,5.613,1.58,31,2.788,1.2,33,3.424,1.326,33,3.563,1.519,32
calf (muscle),4,3.765,1.848,34,5.618,1.189,34,5.939,1.127,33,6.576,0.653,33,6.147,1.375,34,5.563,1.619,32,4.794,1.079,34,3.455,1.328,33,4.824,1.124,34
call (shout),4,5.235,1.941,34,4.875,1.218,32,6.515,1.844,33,4.788,1.572,33,4.576,1.688,33,5.969,1.38,32,2.912,1.147,34,4.452,1.291,31,4.375,1.244,32
call (telephone),4,4.588,2.302,34,5.441,1.168,34,5.588,1.734,34,4.735,1.651,34,4.886,1.879,35,6.353,0.904,34,2.771,1.017,35,3.412,1.574,34,3.03,1.029,33
call (visit),4,4.546,1.986,33,6.177,1.294,34,5.853,1.957,34,4.206,1.389,34,4.152,1.438,33,5.471,1.419,34,3.794,1.389,34,3.235,1.19,34,3.353,0.836,34
camp (effeminate),4,4.094,2.127,32,4.613,1.979,31,4.75,2.179,32,3.133,1.746,30,4.839,1.608,31,4.794,2.193,34,5.813,1.467,32,4,1.646,31,3.688,1.991,32
camp (tents),4,3.581,1.996,31,5.807,1.468,31,5.065,1.759,31,6.152,1.184,33,6.406,1.169,32,5.387,1.659,31,3.333,1.035,33,3.742,1.544,31,5.125,0.82,32
cane (beat),4,4.576,2.27,33,2.688,1.667,32,4.853,2.557,34,5.813,1.261,32,5.424,1.596,33,3.471,1.819,34,4.563,1.197,32,3,1.27,31,4.971,1.175,34
cane (stick),4,4.677,2.206,34,3.529,1.48,34,4.364,2.042,33,6.371,1.098,35,5.882,1.43,34,4.294,2.037,34,4.086,1.273,35,2.818,1.266,33,5.114,0.887,35
cane (sugar),4,4.177,2.443,34,5.941,1.371,34,4.849,1.077,33,6.147,1.286,34,5.882,0.993,34,4.333,1.995,33,4.5,1.399,34,2.529,1.311,34,3.546,0.856,33
cap (hat),3,3.686,1.801,35,5.286,1.322,35,5.229,1.197,35,6.543,0.936,35,6.657,0.715,35,5.353,1.512,34,2.629,0.865,35,2.4,1.101,35,5.657,0.924,35
cap (limit),3,3.273,1.814,33,4.091,0.793,33,3.875,2.162,32,3.455,1.416,33,3.03,1.766,33,4.452,1.603,31,5.061,1.278,33,4.546,1.437,33,4.424,0.818,33
case (container),4,2.727,1.763,33,5.061,0.6,33,4.667,1.341,33,6.563,0.864,32,5.909,1.422,33,5.438,1.391,32,3.343,1.17,35,3.029,1.424,34,4.03,0.969,33
case (instance),4,3.5,1.62,32,4.727,1.238,33,5.059,1.474,34,3.364,1.702,33,2.912,1.652,34,5.438,1.694,32,4.912,1.579,34,3.781,1.452,32,4.588,0.943,34
case (legal),4,3.735,1.915,34,3.765,1.214,34,4.647,1.984,34,4.353,1.532,34,4.121,1.701,33,4.618,1.627,34,5.441,1.09,34,4.824,1.465,34,4.941,1.235,34
cast (actors),4,5.412,1.751,34,5.794,1.079,34,4.629,1.742,35,5.629,1.587,35,5.412,1.611,34,5.4,1.497,35,4.6,1.126,35,4.657,1.473,35,4.371,1.197,35
cast (plaster bandage),4,3.514,1.645,35,3.543,1.25,35,3.294,1.618,34,6.771,0.483,35,6.571,0.803,35,4.857,1.57,35,3.6,1.438,35,3.5,1.46,34,4.229,0.831,35
cast (throw),4,4.182,2.066,33,4.667,1.45,33,6.455,1.395,33,4.606,1.413,33,4.727,1.847,33,4.097,1.748,31,5.188,1.21,32,4.273,1.162,33,4.849,1.54,33
catch (a ball),5,5.257,2.247,35,6.139,1.417,36,6.118,1.906,34,5.147,1.717,34,5.941,1.083,34,6.286,1.084,35,1.833,0.866,36,3.229,1.289,35,5.457,0.966,35
catch (drawback),5,4.156,1.97,32,2.807,1.229,31,3.677,1.673,31,2.781,1.672,32,2.613,1.452,31,4.333,1.87,33,4.594,1.656,32,4,1.5,32,4.281,1.007,32
catch (restraint),5,4.941,1.798,34,4.061,1.205,33,4.412,1.957,34,4.375,1.576,32,4.303,1.566,33,5.353,1.678,34,4.206,1.677,34,3.909,1.24,33,4.559,1.063,34
catch (romantic),5,6.412,1.734,34,7.429,1.379,35,5.25,1.854,32,3,1.454,35,3.903,1.784,31,3.97,1.749,33,5.429,1.154,35,4.706,1.201,34,3.324,1.585,34
cell (biological),4,3.6,2.003,35,5.771,1.456,35,4.667,2.084,33,5.543,1.73,35,5,1.789,35,5.529,1.595,34,5.788,1.094,33,2.455,2.09,33,3.886,0.919,35
cell (jail),4,3.438,2.061,32,2.353,1.108,34,3.121,2.114,33,6.471,0.813,34,6.412,1.191,34,5.091,1.815,33,3.941,1.413,34,3.273,1.746,33,5.412,0.911,34
chair (head),5,3.943,1.788,35,5.656,1.162,32,4.9,2.135,30,4.897,1.626,29,3.903,1.907,31,4.484,1.829,31,5.581,1.239,31,4.161,1.816,31,4.813,1.261,32
chair (seat),5,2.629,1.475,35,5.294,0.749,34,5.606,1.476,33,6.677,0.756,34,6.657,0.955,35,6.457,0.966,35,1.686,0.708,35,3.177,1.504,34,3.97,0.627,33
change (coins),6,4.606,1.969,33,5.5,1.007,34,5.265,1.481,34,6.294,1.072,34,6.303,1.087,33,6.303,0.937,33,3.5,1.266,34,2.265,1.093,34,4,1.057,34
change (transform),6,5.829,1.844,35,6.514,1.204,35,6.2,1.737,35,3.771,1.64,35,4.2,1.47,35,6.147,1.191,34,2.943,0.984,35,5.229,1.267,35,3.543,0.905,35
charge (card),6,3.531,2.076,32,4.355,1.206,31,5.031,1.571,32,3.818,1.604,33,4.226,2.043,31,5.5,1.586,30,5.03,1.359,33,3.625,1.341,32,4.323,0.996,31
charge (dependent),6,3.5,2.062,30,4.938,1.456,32,4.625,2.497,32,3.688,1.96,32,2.97,1.817,33,3.5,1.819,34,5.719,1.068,32,3.742,1.343,31,4.355,1.259,31
charge (electric),6,5.909,2.221,33,5.743,1.273,35,4.875,1.833,32,4.636,1.772,33,3.849,1.811,33,5.344,1.796,32,5.206,1.43,34,4.303,1.817,33,4.727,1.108,33
charge (price),6,3.743,1.991,35,4.118,1.022,34,4.182,2.052,33,4.529,1.753,34,4.03,1.642,33,5.765,1.33,34,4.094,1.234,32,4.375,1.083,32,4.853,0.944,34
charge (rush),6,5.936,2.154,31,4.29,1.3,31,6.367,2.041,30,4.29,1.419,31,4.767,1.585,30,4.938,1.819,32,4.733,1.365,30,5.032,1.204,31,5.031,1.287,32
charm (lucky),5,6.412,1.437,34,7.588,1.032,34,5.147,2.144,34,3.294,1.918,34,4.853,1.517,34,5.5,1.377,34,3.588,1.115,34,3.697,1.817,33,3.294,1.249,34
charm (social allure),5,6.206,2.471,34,7.571,1.154,35,6.235,2.143,34,3.029,1.404,34,3.571,1.761,35,5.188,1.861,32,4.706,1.544,34,5.059,1.392,34,4.029,2.036,34
cheer (happiness),5,7.543,1.61,35,8.543,0.731,35,7.029,1.699,35,3.6,1.744,35,5.229,1.375,35,5.743,1.421,35,3.114,1.19,35,5.382,1.261,34,3.147,1.141,34
cheer (support),5,7.424,1.652,33,8.152,0.857,33,6.818,1.486,33,4.515,1.417,33,5.03,1.507,33,5.939,1.254,33,3.03,1.058,33,5.188,1.236,32,2.813,1.356,32
chemistry (rapport),9,5.688,2.391,32,6.606,1.74,33,5.606,1.89,33,3.212,1.887,33,3.688,1.467,32,5.324,1.548,34,5.818,1.14,33,4.313,1.21,32,3.697,1.291,33
chemistry (science),9,4.794,2.411,34,5.571,1.695,35,5.177,1.671,34,4.657,1.912,35,4.313,1.81,32,5.588,1.629,34,5.286,0.881,35,5.242,1.741,33,4.824,1.224,34
chest (cabinet),5,3.086,1.746,35,5.206,0.677,34,5.371,1.244,35,6.2,1.305,35,6.371,1.017,35,5.667,1.531,33,3.147,1.263,34,3.8,1.77,35,4.121,1.148,33
chest (torso),5,5.529,2.304,34,5.765,1.352,34,5.971,1.562,34,6.706,0.666,34,6.235,1.059,34,6.147,1.263,34,2.971,1.361,34,4,1.111,34,4.941,1.608,34
class (school),5,3.559,2.291,34,5.229,1.416,35,4.029,2.294,34,5.235,1.373,34,5.677,1.322,34,6.375,0.857,32,2.4,0.869,35,4.677,1.3,34,4.029,0.941,35
class (status),5,3.677,2.161,31,4.097,1.784,31,4.121,2.129,33,2.515,1.617,33,3.281,1.754,32,5.567,1.334,30,5.333,1.318,33,4.813,1.467,32,4.094,1.487,32
cleaner (maid),7,3.471,1.989,34,4.853,1.061,34,4.853,2.002,34,6.294,0.787,34,6.382,0.875,34,5.353,1.453,34,3.515,1.019,33,3.441,1.265,34,1.971,1.098,34
cleaner (more clean),7,4.829,2.261,35,7.029,1.647,35,5.394,2.269,33,3.829,1.483,35,4.057,1.866,35,5.667,1.428,33,3.618,1.306,34,4.121,1.572,33,2.629,0.721,35
close (near),5,4.531,2.277,32,6.273,1.399,33,5.063,1.456,32,3.75,1.521,32,3.727,1.78,33,6.367,0.912,30,2.424,1.016,33,2.849,1.104,33,3.697,0.834,33
close (stairwell),5,3.394,1.825,33,4.879,0.477,33,4.939,1.496,33,5.969,1.212,32,5.849,1.329,33,4.219,2.042,32,4.813,1.509,32,3.548,1.364,31,4.091,0.965,33
cloud (sky),5,4.853,2.116,34,6.059,1.514,34,5.061,1.669,33,6.057,1.473,35,6.429,0.935,35,6.636,0.688,33,2.059,1.083,34,5.314,1.617,35,3.686,0.854,35
cloud (spoil),5,3,1.62,32,3.156,1.228,32,3.818,1.359,33,3.645,1.617,31,4.063,1.731,32,3.875,2.132,32,5.563,1.435,32,3.879,1.2,33,4.065,0.948,31
club (card suit),4,3.424,2.031,33,5.515,1.077,33,5.303,1.243,33,5.469,1.695,32,5.735,1.836,34,4.645,1.806,31,3.912,1.442,34,2.875,1.431,32,5.265,0.949,34
club (disco),4,5.824,2.307,34,6.529,1.649,34,5.576,1.688,33,6.324,0.83,34,6.382,0.728,34,6.353,1.108,34,5,1.237,34,4.406,1.271,32,3.677,1.408,34
club (hit),4,4.719,2.295,32,3.212,1.552,33,4.933,2.159,30,5.581,1.314,31,5.594,1.518,32,4.688,1.878,32,4.677,1.711,31,4.533,1.408,30,5.406,1.057,32
club (organisation),4,4.8,1.968,35,6.114,1.141,35,5.177,1.74,34,5.543,1.317,35,5.486,0.937,35,6.242,0.854,33,3.229,1.149,35,4.882,1.549,34,4.229,1.044,35
club (tool),4,3.765,2.289,34,3.735,1.171,34,5.375,1.763,32,6.469,1,32,6.229,1.244,35,4.563,2.15,32,4.2,1.305,35,3.618,1.627,34,5.697,1,33
clutch (bag),6,3.939,1.791,33,5.457,1.273,35,5,1.454,35,6.514,0.841,35,6.229,1.221,35,4.912,2.092,34,5.657,1.393,35,2.657,1.218,35,1.677,0.962,34
clutch (car),6,3.588,1.734,34,4.882,0.758,34,5.765,1.699,34,6.4,0.869,35,6.029,1.32,35,5.657,1.585,35,5.8,1.41,35,2.714,1.136,35,5.514,1.251,35
clutch (grab),6,5.343,2.097,35,4.257,1.273,35,4.914,2.407,35,4.514,1.628,35,4.857,1.515,35,4.543,1.61,35,4.8,1.327,35,3.714,1.3,35,3.686,1.43,35
