word,Length,Arousal.M,Arousal.SD,Arousal.N,Valence.M,Valence.SD,Valence.N,Dominance.M,Dominance.SD,Dominance.N,Concreteness.M,Concreteness.SD,Concreteness.N,Imageability.M,Imageability.SD,Imageability.N,Familiarity.M,Familiarity.SD,Familiarity.N,AoA.M,AoA.SD,AoA.N,Size.M,Size.SD,Size.N,Gender.M,Gender.SD,Gender.N
address (postal),7,3.546,1.94,33,5,0.739,33,5.114,1.489,35,5.581,1.454,31,4.559,1.648,34,6.094,1.128,32,3.059,1.056,34,3.471,1.419,34,4,0.612,32
address (speak to),7,4,2.029,34,5.559,1.063,34,6.182,2.066,33,4.114,1.652,35,4.2,1.67,35,4.857,1.71,35,4.8,1.09,35,4.171,1.502,35,3.824,0.954,34
aim (objective),3,4.909,2.34,33,6.382,1.189,34,5.909,2.021,33,3.294,1.84,34,2.909,1.583,33,6.03,1.029,33,4.529,1.334,34,4.5,1.399,34,4.235,1.086,34
aim (target),3,5.2,2.214,35,5.6,1.642,35,6.714,1.631,35,4.677,1.604,34,5.286,1.614,35,5.97,0.969,33,3.618,1.534,34,3.686,1.617,35,4.743,1.104,35
Apple (brand),5,4.849,2.687,33,5.971,1.902,34,4.6,2.44,35,5.943,1.264,35,6.677,0.794,34,6.529,0.915,34,6,1.553,34,5.353,1.954,34,4.647,1.21,34
apple (fruit),5,4.636,2.172,33,6.121,1.297,33,5.286,1.385,35,6.765,0.597,34,6.8,0.466,35,6.613,0.656,31,1.576,0.698,33,2.314,1.26,35,3.212,0.946,33
arm (limb),3,3.5,1.835,34,5.583,1.46,36,5.941,1.909,34,6.694,0.7,36,6.882,0.403,34,6.849,0.435,33,1.861,1.134,36,3.389,1.439,36,4.306,0.938,36
arm (weapon),3,5.727,2.15,33,2.758,1.436,33,6.636,1.872,33,5.758,1.349,33,5.563,1.345,32,4.5,1.601,32,5.242,1.207,33,4.939,1.632,33,5.909,1.138,33
arms (limbs),4,3.857,1.944,35,6.086,1.296,35,6.5,1.377,34,6.743,0.498,35,6.6,0.835,35,6.818,0.575,33,1.8,1.283,35,3.6,1.497,35,4.257,0.691,35
arms (weapons),4,5.706,2.561,34,2.059,1.211,34,4.147,2.51,34,6.235,0.972,34,6.294,0.925,34,4.788,1.855,33,5.5,1.44,34,5.441,1.193,34,5.912,1.197,34
ass (donkey),3,3.912,2.215,34,4.743,1.317,35,5.559,2.061,34,6.813,0.39,32,6.743,0.498,35,5,1.969,32,4.167,1.323,36,3.486,1.422,35,5.457,1.155,35
ass (insult),3,4.697,2.54,33,2.063,0.864,32,4.188,2.113,32,2.807,1.378,31,2.807,1.635,31,4.656,1.962,32,5.333,1.271,33,3.781,1.596,32,5.455,1.208,33
ball (dance),4,5.657,2.013,35,6.647,1.37,34,5.235,1.783,34,5.543,1.645,35,5.686,1.115,35,4.857,1.944,35,3.8,1.214,35,4.629,1.742,35,2.029,0.845,35
ball (sphere),4,4.152,2.148,33,5.324,1.3,34,5.029,1.807,34,6.029,1.502,35,6.514,0.906,35,6.063,1.478,32,2,1.265,35,3.286,1.406,35,4.882,1.367,34
band (music),4,6.286,2.172,35,6.546,1.559,33,6.143,1.376,35,5.559,1.479,34,5.971,1.134,35,6.516,0.757,31,3.412,1.141,34,4.471,1.595,34,4.941,0.873,34
band (ribbon),4,3.353,1.643,34,5.412,1.061,34,5.353,1.453,34,6.364,0.81,33,6.059,1.514,34,5.094,1.548,32,3.412,1.166,34,2.235,1.214,34,2.441,1.217,34
bank (money),4,4.677,2.583,31,5.688,1.57,32,4.281,2.225,32,6.152,1.258,33,6.484,1.215,31,6.367,1.11,30,3.212,1.2,33,5.258,1.606,31,4.742,1.319,31
bank (rely),4,3.546,1.924,33,4.647,1.16,34,4.094,2.021,32,3.152,1.725,33,2.875,1.798,32,4.088,1.931,34,5.469,1.199,32,3.818,1.359,33,4.333,1.005,33
bank (river),4,3.353,1.696,34,5.441,1.168,34,4.531,1.346,32,5.788,1.472,33,6.061,0.814,33,5.031,1.828,32,4.029,1.404,34,4.563,1.478,32,4.061,0.983,33
banks (money),5,4.576,2.089,33,4.206,2.026,34,3.559,2.488,34,5.938,1.519,32,5.735,1.501,34,6.031,0.952,32,3.514,1.105,35,5.765,1.165,34,5.364,0.915,33
banks (river),5,3.469,1.732,32,5.636,1.039,33,4.735,1.915,34,5.906,1.548,32,6.394,0.983,33,5.406,1.389,32,3.941,1.282,34,4.781,1.816,32,4.182,1.167,33
bar (legal),3,3.818,2.418,33,4.871,1.497,31,4.656,2.025,32,4.571,1.761,35,3.818,1.833,33,4.206,2.069,34,5.906,1.4,32,3.909,1.545,33,4.971,1.028,35
bar (metal),3,2.939,1.74,33,4.364,1.01,33,5.382,1.534,34,6.588,0.844,34,6.235,0.941,34,5.029,1.671,34,3.294,1.466,34,3.03,1.566,33,5.118,1.022,34
bar (musical),3,5.235,2.016,34,6,1.372,34,5.514,1.592,35,5.177,1.599,34,4.909,1.929,33,5.206,1.728,34,5.303,1.167,33,3.212,1.701,33,3.706,1.249,34
bar (pub),3,5.758,2.216,33,6.029,1.765,35,5.743,1.401,35,6.371,0.796,35,6.4,0.901,35,6.606,0.694,33,4.657,1.413,35,4.571,1.154,35,5.677,0.992,34
barge (boat),5,3.629,1.987,35,5.343,0.754,35,5.171,1.464,35,6.486,1.025,35,6.486,0.874,35,3.743,1.842,35,4.543,1.537,35,5.343,1.62,35,4.943,1.33,35
barge (push),5,5.061,2.309,33,2.97,1.381,33,5.758,2.462,33,4.606,1.536,33,5.03,1.586,33,4.774,1.66,31,4.727,1.377,33,4.242,1.498,33,5.485,1.077,33
bark (dog),4,4.912,2.035,34,4.4,1.335,35,4.879,1.754,33,5.057,1.53,35,5.257,1.574,35,6.152,1.351,33,2.057,1.218,35,3.879,1.472,33,5.343,0.984,35
bark (tree),4,3.606,1.757,33,5.364,0.881,33,5.515,1.282,33,6.063,1.321,32,6.324,1.021,34,5.455,1.635,33,3.235,1.19,34,3.382,1.698,34,4.559,0.774,34
bass (fish),4,3.485,1.956,33,5.242,0.854,33,4.765,1.113,34,6.171,1.32,35,5.706,1.425,34,4.065,1.777,31,4.886,1.817,35,2.294,1.226,34,4.546,0.924,33
bass (guitar),4,5.353,2.312,34,6.4,1.398,35,6,2.015,33,6.257,0.966,35,6.171,1.32,35,5.938,1.519,32,4.857,1.437,35,4.171,1.32,35,5.343,0.893,35
bat (animal),3,3.857,2.332,35,5.471,1.289,34,5.059,1.027,34,6.714,1.03,35,6.824,0.381,34,5.353,1.764,34,2.771,0.865,35,2.429,1.498,35,4.829,1,35
bat (club),3,4,2,33,4.727,1.523,33,5.469,1.952,32,6.152,1.5,33,6.212,1.094,33,5.097,1.552,31,3.457,1.441,35,3.406,1.578,32,5.387,0.939,31
beat (hit),4,4.824,2.229,34,3.303,2.222,33,4.938,2.15,32,5.242,1.393,33,5.125,1.409,32,5,1.479,32,3.829,1.183,35,4.125,1.85,32,5.2,1.327,35
beat (mix),4,4.546,2.571,33,5.529,1.557,34,5.303,1.714,33,4.849,1.351,33,5.114,1.635,35,5.333,1.627,33,3.943,1.672,35,3.559,1.355,34,4.382,0.971,34
beat (rhythm),4,6.6,2.003,35,6.229,1.623,35,5.629,1.987,35,4.472,1.724,36,3.714,2.159,35,6.091,1.215,33,3.75,1.605,36,4.229,1.742,35,4.389,1.185,36
bit (bite),3,4,2.352,34,4.177,1.248,34,5.471,1.959,34,5.029,1.581,34,5.03,1.732,33,5.3,1.441,30,2.581,1.602,31,3,1.557,33,4.147,1.115,34
bit (horse bridal),3,2.828,1.858,29,5.241,0.773,29,5.037,1.071,27,6,1.564,27,5.593,1.593,27,2.969,2.008,32,5.154,1.634,26,2.346,1.329,26,4,0.926,28
bit (small amount),3,2.824,1.562,34,4.686,1.09,35,4.677,1.387,34,3.618,1.663,34,4.235,1.699,34,6.059,1.162,34,2,0.926,35,1.714,1.084,35,3.765,0.877,34
blow (hit),4,5.438,2.221,32,2.697,1.381,33,4.774,2.419,31,5.281,1.281,32,5.667,1.198,33,5,1.481,31,4.419,1.454,31,4.774,1.408,31,5.333,0.876,33
blow (wind),4,4.543,2.272,35,4.629,1.071,35,4.429,1.841,35,4.514,1.296,35,4.657,1.655,35,5.849,1.131,33,2.429,0.838,35,4.486,1.763,35,4.029,0.845,35
blubber (cry),7,3.853,2.074,34,2.636,1.01,33,3.5,2.252,34,4.03,1.381,33,5.706,1.525,34,4.438,1.999,32,4.059,1.644,34,3.677,1.509,34,2.971,1.341,35
blubber (fat),7,3.265,1.99,34,3.324,1.585,34,4.121,1.493,33,5.882,0.993,34,5.853,1.375,34,3.667,1.77,33,4.882,1.231,34,4.588,1.611,34,4.061,1.071,33
board (enter),5,4.121,1.822,33,5.344,0.592,32,5.091,1.865,33,4.788,1.647,33,4.618,1.766,34,3.943,1.851,35,4.563,1.456,32,3.939,0.886,33,4.182,0.833,33
board (executive),5,3.303,1.946,33,4.909,1.545,33,5.97,2.368,33,4.939,1.254,33,4.849,1.617,33,4.273,1.83,33,5.636,1.202,33,4.697,1.679,33,5.156,0.87,32
board (wooden),5,2.857,1.57,35,4.857,0.542,35,4.943,1.413,35,6.543,0.731,35,6.265,0.949,34,4.971,1.812,35,2.971,0.971,35,3.286,1.406,35,4.853,0.944,34
bonds (money),5,4.273,2.465,33,5.563,1.731,32,4.794,1.997,34,5.257,1.441,35,4.212,1.665,33,4.265,1.737,34,6.057,1.04,35,4.781,1.576,32,4.97,1.029,33
bonds (restraints),5,5.743,2.297,35,3.086,1.948,35,3.029,2.606,34,5.086,1.795,35,5.486,1.402,35,4.559,2.017,34,5.618,1.085,34,4.618,1.895,34,4.714,1.485,35
book (read),4,4.781,2.232,32,6.781,1.691,32,5.839,1.687,31,6.563,0.899,32,6.406,1.169,32,6.677,0.642,31,2.031,0.77,32,3.355,1.536,31,3.364,1.096,33
book (reserve),4,3.714,1.921,35,5.8,1.141,35,6.235,2.073,34,4.706,1.637,34,4.382,1.732,34,5.313,1.236,32,4.086,1.273,35,3.273,1.399,33,4.029,1.23,35
boot (car),4,3.118,1.676,34,4.939,0.776,33,5.606,1.391,33,6.229,1.221,35,6.364,1.068,33,6.206,1.301,34,3.412,1.216,34,3.576,1.415,33,5.057,1.17,35
boot (evict),4,4.294,2.358,34,2.971,1.2,34,4.382,2.474,34,4.029,1.774,34,3.735,1.96,34,3.688,1.81,32,5.441,1.499,34,4.088,1.172,34,5,1.085,34
